共通語彙基盤用,地名,センター,燃やせるごみ,燃やせないごみ,プラスチック容器包装,缶・びん・ペットボトル
area:1,カレンダー(1),,火 金:4 5 6 7 8 9 10 11 2 3 20191203 20191206 20191210 20191213 20191217 20191220 20191224 20191227 20191229 20200106 20200110 20200114 20200117 20200121 20200124 20200128 20200131,20190410 20190424 20190508 20190522 20190605 20190619 20190703 20190717 20190731 20190814 20190828 20190911 20190925 20191009 20191023 20191106 20191120 20191204 20191218 20191225 20200115 20200129 20200212 20200226 20200311 20200325,木:4 5 6 7 8 9 10 11 2 3 20191205 20191212 20191219 20191226 20200105 20200109 20200116 20200123 20200130,20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191221 20200108 20200122 20200205 20200219 20200304 20200318
area:2,カレンダー(2),,火 金:4 5 6 7 8 9 10 11 2 3 20191203 20191206 20191210 20191213 20191217 20191220 20191224 20191227 20191229 20200107 20200110 20200114 20200117 20200121 20200124 20200128 20200131,20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191221 20200108 20200122 20200205 20200219 20200304 20200318,月:4 5 6 7 8 9 10 11 2 3 20191202 20191209 20191216 20191223 20191228 20200104 20200113 20200120 20200127,20190410 20190424 20190508 20190522 20190605 20190619 20190703 20190717 20190731 20190814 20190828 20190911 20190925 20191009 20191023 20191106 20191120 20191204 20191218 20191225 20200115 20200129 20200212 20200226 20200311 20200325
area:3,カレンダー(3),,火 金:4 5 6 7 8 9 10 11 2 3 20191203 20191206 20191210 20191213 20191217 20191220 20191224 20191227 20191229 20200106 20200110 20200114 20200117 20200121 20200124 20200128 20200131,20190410 20190424 20190508 20190522 20190605 20190619 20190703 20190717 20190731 20190814 20190828 20190911 20190925 20191009 20191023 20191106 20191120 20191204 20191218 20191225 20200115 20200129 20200212 20200226 20200311 20200325,木:4 5 6 7 8 9 10 11 2 3 20191205 20191212 20191219 20191226 20200105 20200109 20200116 20200123 20200130,20190408 20190422 20190506 20190520 20190603 20190617 20190701 20190715 20190729 20190812 20190826 20190909 20190923 20191007 20191021 20191104 20191118 20191202 20191216 20191228 20200113 20200127 20200210 20200224 20200309 20200323
area:4,カレンダー(4),,火 金:4 5 6 7 8 9 10 11 2 3 20191203 20191206 20191210 20191213 20191217 20191220 20191224 20191227 20191229 20200106 20200110 20200114 20200117 20200121 20200124 20200128 20200131,20190410 20190424 20190508 20190522 20190605 20190619 20190703 20190717 20190731 20190814 20190828 20190911 20190925 20191009 20191023 20191106 20191120 20191204 20191218 20191225 20200115 20200129 20200212 20200226 20200311 20200325,木:4 5 6 7 8 9 10 11 2 3 20191205 20191212 20191219 20191226 20200105 20200109 20200116 20200123 20200130,20190401 20190415 20190429 20190513 20190527 20190610 20190624 20190708 20190722 20190805 20190819 20190902 20190916 20190930 20191014 20191028 20191111 20191125 20191209 20191223 20200104 20200120 20200203 20200217 20200302 20200316 20200330
area:5,カレンダー(5),,月 木:4 5 6 7 8 9 10 11 2 3 20191202 20191205 20191209 20191212 20191216 20191219 20191223 20191226 20191228 20200104 20200109 20200113 20200116 20200120 20200123 20200127 20200130,20190410 20190424 20190508 20190522 20190605 20190619 20190703 20190717 20190731 20190814 20190828 20190911 20190925 20191009 20191023 20191106 20191120 20191204 20191218 20191225 20200115 20200129 20200212 20200226 20200311 20200325,火:4 5 6 7 8 9 10 11 2 3 20191203 20191210 20191217 20191224 20191229 20200107 20200114 20200121 20200128,20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191221 20200108 20200122 20200205 20200219 20200304 20200318
area:6,カレンダー(6),,月 木:4 5 6 7 8 9 10 11 2 3 20191202 20191205 20191209 20191212 20191216 20191219 20191223 20191226 20191228 20200105 20200109 20200113 20200116 20200120 20200123 20200127 20200130,20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191221 20200108 20200122 20200205 20200219 20200304 20200318,金:4 5 6 7 8 9 10 11 2 3 20191206 20191213 20191220 20191227 20200106 20200110 20200117 20200124 20200131,20190410 20190424 20190508 20190522 20190605 20190619 20190703 20190717 20190731 20190814 20190828 20190911 20190925 20191009 20191023 20191106 20191120 20191204 20191218 20191225 20200115 20200129 20200212 20200226 20200311 20200325
area:7,カレンダー(7),,月 木:4 5 6 7 8 9 10 11 2 3 20191202 20191205 20191209 20191212 20191216 20191219 20191223 20191226 20191228 20200105 20200109 20200113 20200116 20200120 20200123 20200127 20200130,20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918 20191002 20191016 20191030 20191113 20191117 20191211 20191221 20200108 20200122 20200205 20200219 20200304 20200318,金:4 5 6 7 8 9 10 11 2 3 20191206 20191213 20191220 20191227 20200106 20200110 20200117 20200124 20200131,20190402 20190416 20190430 20190514 20190528 20190611 20190625 20190709 20190723 20190806 20190820 20190903 20190917 20191001 20191015 20191029 20191112 20191126 20191210 20191224 20200107 20200121 20200204 20200218 20200303 20200317 20200331
area:8,カレンダー(8),,月 木:4 5 6 7 8 9 10 11 2 3 20191202 20191205 20191209 20191212 20191216 20191219 20191223 20191226 20191228 20200105 20200109 20200113 20200116 20200120 20200123 20200127 20200130,20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191221 20200108 20200122 20200205 20200219 20200304 20200318,金:4 5 6 7 8 9 10 11 2 3 20191206 20191213 20191220 20191227 20200106 20200110 20200117 20200124 20200131,20190409 20190423 20190507 20190521 20190604 20190618 20190702 20190716 20190730 20190813 20190827 20190910 20190924 20191008 20191022 20191105 20191119 20191203 20191217 20191229 20200114 20200128 20200211 20200225 20200310 20200324
area:9,カレンダー(9),,月 木:4 5 6 7 8 9 10 11 2 3 20191202 20191205 20191209 20191212 20191216 20191219 20191223 20191226 20191228 20200104 20200109 20200113 20200116 20200120 20200123 20200127 20200130,20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918 20191002 20191016 20191030 20191113 20191127 20191211 20191221 20200108 20200122 20200205 20200219 20200304 20200318,火:4 5 6 7 8 9 10 11 2 3 20191203 20191210 20191217 20191224 20191229 20200107 20200114 20200121 20200128,20190405 20190419 20190503 20190517 20190531 20190614 20190628 20190712 20190726 20190809 20190823 20190906 20190920 20191004 20191018 20191101 20191115 20191129 20191213 20191227 20200110 20200124 20200207 20200221 20200306 20200320
area:10,カレンダー(10),,月 木:4 5 6 7 8 9 10 11 2 3 20191202 20191205 20191209 20191212 20191216 20191219 20191223 20191226 20191228 20200104 20200109 20200113 20200116 20200120 20200123 20200127 20200130,20190410 20190424 20190508 20190522 20190605 20190619 20190703 20190717 20190731 20190814 20190828 20190911 20190925 20191009 20191023 20191106 20191120 20191204 20191218 20191225 20200115 20200129 20200212 20200226 20200311 20200325,火:4 5 6 7 8 9 10 11 2 3 20191203 20191210 20191217 20191224 20191229 20200107 20200114 20200121 20200128,20190412 20190426 20190510 20190524 20190607 20190621 20190705 20190719 20190802 20190816 20190830 20190913 20190927 20191011 20191027 20191108 20191122 20191206 20191220 20190106 20200117 20200131 20200214 20200228 20200313 20200327
